                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 2.9914,                 3.2342,                 3.5739,                0.00019,                0.01087,                0.00012,                  1e-05,                 2.7405,                 4.4901,                 4.2043,             0.00056389,             0.00056389,             0.00056389
                     35,                  2.846,                 3.2183,                 3.5361,                0.00019,                0.01087,                0.00011,                  1e-05,                 2.7445,                 4.5036,                 4.2127,             0.00057218,             0.00057218,             0.00057218
                     36,                 2.7717,                 3.2622,                 3.5075,                0.00019,                0.01087,                0.00012,                  1e-05,                 2.7485,                 4.5232,                 4.2229,             0.00057998,             0.00057998,             0.00057998
                     37,                 2.9447,                 3.1147,                 3.4803,                0.00019,                0.01087,                0.00012,                  1e-05,                 2.7485,                 4.5232,                 4.2229,             0.00058729,             0.00058729,             0.00058729
                     38,                 2.7836,                 3.1423,                 3.4121,                0.00019,                0.01087,                0.00012,                  1e-05,                 2.7516,                 4.5444,                 4.2353,             0.00059409,             0.00059409,             0.00059409
                     39,                 2.8353,                 3.1831,                 3.4581,                0.00019,                0.01087,                0.00011,                  1e-05,                 2.7495,                 4.5645,                 4.2431,             0.00060041,             0.00060041,             0.00060041
                     40,                 2.7795,                 3.1331,                 3.4048,                0.00019,                0.01087,                0.00011,                  1e-05,                 2.7495,                 4.5645,                 4.2431,             0.00060623,             0.00060623,             0.00060623
                     41,                 2.8056,                 3.0239,                 3.3176,                0.00019,                0.01087,                 0.0001,                  1e-05,                 2.7409,                 4.5587,                 4.2365,             0.00061155,             0.00061155,             0.00061155
                     42,                 2.7955,                 2.9228,                 3.3315,                0.00019,                0.01087,                 0.0001,                  1e-05,                 2.7296,                 4.5343,                 4.2215,             0.00061638,             0.00061638,             0.00061638
                     43,                 2.7667,                 3.0538,                 3.3172,                0.00019,                0.01087,                 0.0001,                  1e-05,                 2.7296,                 4.5343,                 4.2215,             0.00062071,             0.00062071,             0.00062071
                     44,                 2.7513,                 2.9077,                 3.3444,                0.00038,                0.02174,                0.00021,                  3e-05,                 2.7231,                 4.5425,                 4.2211,             0.00062455,             0.00062455,             0.00062455
                     45,                 2.7353,                 2.9503,                 3.2195,                0.00038,                0.02174,                0.00021,                  3e-05,                 2.7231,                 4.5425,                 4.2211,              0.0006279,              0.0006279,              0.0006279
                     46,                 2.7147,                 2.9084,                 3.2408,                0.00038,                0.02174,                0.00021,                  3e-05,                 2.7188,                 4.5477,                 4.2233,             0.00063074,             0.00063074,             0.00063074
                     47,                 2.6659,                 3.0047,                 3.2795,                0.00038,                0.02174,                0.00021,                  3e-05,                 2.7188,                 4.5477,                 4.2233,              0.0006331,              0.0006331,              0.0006331
                     48,                 2.7036,                 3.0106,                 3.3146,                0.00019,                0.01087,                 0.0001,                  1e-05,                 2.7106,                 4.5252,                 4.2162,             0.00063496,             0.00063496,             0.00063496
                     49,                 2.7052,                 2.8017,                  3.229,                0.00019,                0.01087,                 0.0001,                  1e-05,                 2.7106,                 4.5252,                 4.2162,             0.00063632,             0.00063632,             0.00063632
                     50,                 2.7008,                 2.7908,                 3.2108,                0.00019,                0.01087,                 0.0001,                  1e-05,                 2.6936,                 4.4931,                  4.195,             0.00063719,             0.00063719,             0.00063719
                     51,                 2.7414,                 2.7324,                 3.1531,                0.00019,                0.01087,                 0.0001,                  1e-05,                 2.6936,                 4.4931,                  4.195,             0.00063125,             0.00063125,             0.00063125
                     52,                 2.6673,                  2.753,                 3.1464,                0.00038,                 0.0163,                 0.0002,                  2e-05,                 2.6755,                 4.4381,                 4.1559,             0.00063125,             0.00063125,             0.00063125
                     53,                 2.6044,                 2.6874,                 3.1141,                0.00038,                 0.0163,                 0.0002,                  2e-05,                 2.6755,                 4.4381,                 4.1559,             0.00061887,             0.00061887,             0.00061887
                     54,                 2.6172,                 2.8035,                 3.2018,                0.00256,                0.10326,                0.00155,                0.00049,                 2.6515,                 4.4166,                 4.1345,              0.0006065,              0.0006065,              0.0006065
                     55,                 2.7562,                 2.7947,                 3.1934,                0.00256,                0.10326,                0.00155,                0.00049,                 2.6515,                 4.4166,                 4.1345,             0.00059413,             0.00059413,             0.00059413
                     56,                 2.7162,                 2.7635,                 3.1408,                0.00242,                0.09783,                0.00145,                0.00044,                 2.6423,                 4.4204,                 4.1328,             0.00058175,             0.00058175,             0.00058175
                     57,                 2.5537,                 2.7572,                 3.0973,                0.00242,                0.09783,                0.00145,                0.00044,                 2.6423,                 4.4204,                 4.1328,             0.00056938,             0.00056938,             0.00056938
                     58,                 2.6191,                  2.719,                  3.104,                0.00245,                0.09783,                0.00146,                 0.0004,                 2.6407,                 4.4436,                 4.1435,               0.000557,               0.000557,               0.000557
                     59,                 2.8116,                 2.8261,                 3.2768,                0.00245,                0.09783,                0.00146,                 0.0004,                 2.6407,                 4.4436,                 4.1435,             0.00054463,             0.00054463,             0.00054463
                     60,                 2.5506,                 2.7719,                 3.0845,                0.00323,                0.13587,                0.00206,                0.00058,                 2.6255,                 4.4234,                 4.1229,             0.00053225,             0.00053225,             0.00053225
                     61,                 2.5829,                 2.6746,                 3.1166,                0.00323,                0.13587,                0.00206,                0.00058,                 2.6255,                 4.4234,                 4.1229,             0.00051988,             0.00051988,             0.00051988
                     62,                 2.6182,                  2.715,                 3.0645,                0.00353,                0.15761,                0.00234,                0.00069,                 2.6081,                 4.3861,                 4.0916,              0.0005075,              0.0005075,              0.0005075
                     63,                 2.7656,                 2.7029,                 3.0721,                0.00353,                0.15761,                0.00234,                0.00069,                 2.6081,                 4.3861,                 4.0916,             0.00049513,             0.00049513,             0.00049513
                     64,                 2.5891,                 2.6589,                 3.0072,                0.00408,                0.19022,                0.00282,                0.00089,                 2.5977,                 4.3463,                 4.0634,             0.00048275,             0.00048275,             0.00048275
                     65,                 2.5667,                  2.668,                 3.0702,                0.00408,                0.19022,                0.00282,                0.00089,                 2.5977,                 4.3463,                 4.0634,             0.00047038,             0.00047038,             0.00047038
                     66,                 2.5362,                 2.6046,                 2.9766,                0.00429,                0.20109,                0.01333,                0.00443,                 2.5923,                  4.328,                 4.0478,               0.000458,               0.000458,               0.000458
                     67,                 2.5045,                 2.7371,                 2.9546,                0.00429,                0.20109,                0.01333,                0.00443,                 2.5923,                  4.328,                 4.0478,             0.00044563,             0.00044563,             0.00044563
                     68,                 2.6672,                 2.6634,                 3.1426,                0.00428,                0.21739,                0.03551,                0.00819,                 2.5813,                 4.2692,                 4.0103,             0.00043325,             0.00043325,             0.00043325
                     69,                 2.5474,                 2.6296,                 3.0265,                0.00428,                0.21739,                0.03551,                0.00819,                 2.5813,                 4.2692,                 4.0103,             0.00042087,             0.00042087,             0.00042087
                     70,                 2.4367,                 2.5358,                 2.9816,                0.00421,                0.22283,                0.05327,                0.01109,                 2.5965,                 4.2388,                 4.0013,              0.0004085,              0.0004085,              0.0004085
                     71,                 2.5792,                 2.6065,                 3.0629,                0.00421,                0.22283,                0.05327,                0.01109,                 2.5965,                 4.2388,                 4.0013,             0.00039613,             0.00039613,             0.00039613
                     72,                 2.5267,                 2.5479,                 2.9893,                0.55814,                0.11413,                0.04957,                0.01162,                 2.6105,                 4.1759,                 3.9811,             0.00038375,             0.00038375,             0.00038375
                     73,                 2.4591,                 2.5832,                 2.9664,                0.55814,                0.11413,                0.04957,                0.01162,                 2.6105,                 4.1759,                 3.9811,             0.00037138,             0.00037138,             0.00037138
                     74,                 2.5076,                 2.4111,                  2.842,                0.82436,                0.04891,                0.04905,                0.01196,                 2.6195,                 4.0768,                 3.9338,               0.000359,               0.000359,               0.000359
